,Start,End,sentiment,sentiment_test,indico_sentiment,bad_bag,good_bag,lastweek,delta
0,2018-12-24,2018-12-30 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,166.07,1
0,2018-12-31,2019-01-06 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,157.17,0
0,2019-01-07,2019-01-13 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,157.92,1
0,2019-01-14,2019-01-20 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,150.75,1
0,2019-01-21,2019-01-27 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,153.07,1
0,2019-01-28,2019-02-03 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,153.3,1
0,2019-02-04,2019-02-10 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,154.68,1
0,2019-02-11,2019-02-17 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,174.18,0
0,2019-02-18,2019-02-24 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,170.89,1
0,2019-02-25,2019-03-03 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,170.93,1
0,2019-03-04,2019-03-10 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,174.33,0
0,2019-03-11,2019-03-17 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,175.53,1
0,2019-03-18,2019-03-24 00:00:00,0.11530526944320053,0.09579999123891979,0.4594622254371643,4.9486774260492e-06,2.3363493479461365e-05,180.91,1
0,2019-03-25,2019-03-31 00:00:00,0.11530526944320053,0.09579999123891979,0.44594886898994446,4.9486774260492e-06,2.3363493479461365e-05,186.53,0
0,2019-04-01,2019-04-07 00:00:00,0.11530526944320053,0.09579999123891979,0.46108824014663696,4.9486774260492e-06,2.3363493479461365e-05,186.79,1
0,2019-04-08,2019-04-14 00:00:00,0.13231117709760923,0.10782358585858581,0.8379969596862793,5.080567098247472e-06,3.2019809588865646e-05,194.02,1
0,2019-04-15,2019-04-21 00:00:00,0.1121303775968848,0.10107295725108228,0.8981713056564331,4.857795189639752e-06,3.0415706670924864e-05,199.5,1
0,2019-04-22,2019-04-28 00:00:00,0.1141097802757467,0.08804008537758538,0.7281814813613892,6.542613581696076e-06,2.6456381108437027e-05,199.25,1
0,2019-04-29,2019-05-05 00:00:00,0.10484347717224433,0.10025575517075519,0.9762741923332214,5.814931498030192e-06,3.131568234108673e-05,207.48,1
0,2019-05-06,2019-05-12 00:00:00,0.09862433359295285,0.11456658549783554,0.6357941031455994,5.3530217473199765e-06,2.3147282598051e-05,200.67,0
0,2019-05-13,2019-05-19 00:00:00,0.0740147757335257,0.04353895234395234,0.8284128308296204,5.9408377429908725e-06,2.6347783210439744e-05,202.86,1
0,2019-05-20,2019-05-26 00:00:00,0.06206587188262582,0.05675926527176528,0.8115825653076172,5.970171530490785e-06,2.6808852878972922e-05,188.66,0
0,2019-05-27,2019-06-02 00:00:00,0.16074728117411047,0.14734202741702748,0.9096340537071228,8.35381078901743e-06,3.673540897813395e-05,186.6,0
0,2019-06-03,2019-06-09 00:00:00,0.13101361980460344,0.11665681818181821,0.9571186900138855,8.030798110754744e-06,2.9574677969917784e-05,178.23,1
0,2019-06-10,2019-06-16 00:00:00,0.035388110072689515,0.0410200925925926,0.9610418081283569,9.320443707946638e-06,2.006032687390808e-05,179.64,1
0,2019-06-17,2019-06-23 00:00:00,0.12872776022776022,0.09789821188071189,0.6820195317268372,5.283838180053991e-06,1.810806895552658e-05,194.81,1
0,2019-06-24,2019-06-30 00:00:00,0.15013358329257925,0.1284117303992304,0.9873210787773132,3.90976540709385e-06,3.437019862259107e-05,198.45,0
0,2018-12-24,2018-12-30 00:00:00,0.1460387620957474,0.07038224506974507,0.9663271903991699,5.925048141016145e-06,4.1437999656367805e-05,1551.48,1
0,2018-12-31,2019-01-06 00:00:00,0.14935234777388062,0.07638224506974507,0.9560736417770386,6.081324025866912e-06,4.247907905356612e-05,1470.9,1
0,2019-01-07,2019-01-13 00:00:00,0.14935234777388062,0.07638224506974507,0.9560736417770386,6.081324025866912e-06,4.247907905356612e-05,1539.13,1
0,2019-01-14,2019-01-20 00:00:00,0.14935234777388062,0.07638224506974507,0.9560736417770386,6.081324025866912e-06,4.247907905356612e-05,1656.58,1
0,2019-01-21,2019-01-27 00:00:00,0.14935234777388062,0.07638224506974507,0.9560736417770386,6.081324025866912e-06,4.247907905356612e-05,1674.56,0
0,2019-01-28,2019-02-03 00:00:00,0.14935234777388062,0.07638224506974507,0.9560736417770386,6.081324025866912e-06,4.247907905356612e-05,1632.17,0
0,2019-02-04,2019-02-10 00:00:00,0.14935234777388062,0.07638224506974507,0.9560736417770386,6.081324025866912e-06,4.247907905356612e-05,1593.88,0
0,2019-02-11,2019-02-17 00:00:00,0.14935234777388062,0.07638224506974507,0.9560736417770386,6.081324025866912e-06,4.247907905356612e-05,1658.81,1
