,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
0,0,0,0,0,0,0,0,0,2014-06-16,335.26001,338.899994,320.420013,324.200012,324.200012,11374600,329.6600035,original/AMZN
1,1,1,1,1,1,1,1,1,2014-06-23,323.329987,329.730011,321.410004,324.570007,324.570007,12674900,325.5700075,original/AMZN
2,2,2,2,2,2,2,2,2,2014-06-30,324.980011,338.299988,322.23999,337.48999,337.48999,10470500,330.269989,original/AMZN
3,3,3,3,3,3,3,3,3,2014-07-07,337.5,347.0,321.399994,346.200012,346.200012,20532400,334.199997,original/AMZN
4,4,4,4,4,4,4,4,4,2014-07-14,347.02999900000015,359.679993,345.359985,358.660004,358.660004,20327800,352.519989,original/AMZN
5,5,5,5,5,5,5,5,5,2014-07-21,358.100006,364.850006,314.76001,324.01001,324.01001,32789800,339.80500800000004,original/AMZN
6,6,6,6,6,6,6,6,6,2014-07-28,324.25,324.820007,304.589996,307.059998,307.059998,25418300,314.7050015,original/AMZN
7,7,7,7,7,7,7,7,7,2014-08-04,308.839996,317.320007,308.5,316.799988,316.799988,14991400,312.9100035,original/AMZN
8,8,8,8,8,8,8,8,8,2014-08-11,318.480011,335.0,316.880005,333.630005,333.630005,16640600,325.9400025,original/AMZN
9,9,9,9,9,9,9,9,9,2014-08-18,335.480011,337.799988,330.799988,331.589996,331.589996,10192000,334.299988,original/AMZN
10,10,10,10,10,10,10,10,10,2014-08-25,333.209991,346.670013,332.709991,339.040009,339.040009,12766200,339.690002,original/AMZN
11,11,11,11,11,11,11,11,11,2014-09-01,339.980011,349.380005,337.160004,346.380005,346.380005,10392300,343.2700045,original/AMZN
12,12,12,12,12,12,12,12,12,2014-09-08,344.540009,345.809998,326.390015,331.190002,331.190002,17549000,336.1000065,original/AMZN
13,13,13,13,13,13,13,13,13,2014-09-15,330.910004,332.76001,319.0,331.320007,331.320007,20859400,325.880005,original/AMZN
14,14,14,14,14,14,14,14,14,2014-09-22,328.48999,329.48999,317.640015,323.209991,323.209991,14671300,323.5650025,original/AMZN
15,15,15,15,15,15,15,15,15,2014-09-29,320.5,325.160004,311.309998,322.73999,322.73999,14241200,318.235001,original/AMZN
16,16,16,16,16,16,16,16,16,2014-10-06,323.5,324.130005,311.380005,311.390015,311.390015,15378300,317.755005,original/AMZN
17,17,17,17,17,17,17,17,17,2014-10-13,309.869995,313.200012,293.829987,303.640015,303.640015,22230000,303.51499950000004,original/AMZN
18,18,18,18,18,18,18,18,18,2014-10-20,302.950012,318.980011,284.0,287.059998,287.059998,38759000,301.4900055,original/AMZN
19,19,19,19,19,19,19,19,19,2014-10-27,285.700012,305.72000099999997,285.019989,305.459991,305.459991,25011000,295.369995,original/AMZN
20,20,20,20,20,20,20,20,20,2014-11-03,306.23999,308.01001,292.290009,299.859985,299.859985,17749900,300.1500095,original/AMZN
21,21,21,21,21,21,21,21,21,2014-11-10,300.0,332.880005,300.0,327.820007,327.820007,21359900,316.4400025,original/AMZN
22,22,22,22,22,22,22,22,22,2014-11-17,326.440002,338.329987,318.0299990000001,332.630005,332.630005,19519300,328.1799930000001,original/AMZN
23,23,23,23,23,23,23,23,23,2014-11-24,334.7799990000001,341.26001,331.2799990000001,338.640015,338.640015,10354600,336.2700045,original/AMZN
