Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
2014-06-16,75.879997,76.279999,75.120003,75.68,66.598412,16586000,75.700001,WMT
2014-06-23,75.559998,76.209999,74.66999799999998,75.339996,66.299225,35120800,75.43999849999999,WMT
2014-06-30,75.400002,76.050003,74.75,75.75,66.660011,20499100,75.4000015,WMT
2014-07-07,75.690002,77.57,75.550003,76.82,67.601616,29148600,76.5600015,WMT
2014-07-14,77.129997,77.25,76.440002,77.089996,67.839203,22747600,76.845001,WMT
2014-07-21,76.760002,77.059998,75.800003,75.970001,66.853638,23011800,76.4300005,WMT
2014-07-28,75.43,76.010002,73.220001,73.540001,64.71521800000001,39636100,74.6150015,WMT
2014-08-04,73.379997,74.809998,72.769997,74.66999799999998,65.709618,35962100,73.7899975,WMT
2014-08-11,74.290001,74.650002,73.489998,73.900002,65.460464,28347700,74.07,WMT
2014-08-18,74.150002,76.199997,74.050003,75.730003,67.081467,23360300,75.125,WMT
2014-08-25,75.93,76.150002,75.290001,75.5,66.87773100000001,18821100,75.7200015,WMT
2014-09-01,75.41999799999998,77.730003,75.410004,77.510002,68.658165,22365900,76.5700035,WMT
2014-09-08,77.129997,77.32,75.660004,75.769997,67.11688199999999,28873600,76.490002,WMT
2014-09-15,75.779999,77.07,75.599998,76.839996,68.064697,30172200,76.334999,WMT
2014-09-22,76.790001,77.309998,75.57,76.489998,67.754662,28309700,76.439999,WMT
2014-09-29,76.059998,77.480003,75.650002,77.32,68.489876,27865800,76.56500249999999,WMT
2014-10-06,77.050003,79.370003,76.720001,78.290001,69.349098,37747400,78.045002,WMT
2014-10-13,78.029999,78.629997,72.610001,74.099998,65.63761099999999,62968900,75.619999,WMT
2014-10-20,74.139999,76.660004,73.91999799999998,76.379997,67.657227,32114700,75.29000099999999,WMT
2014-10-27,76.33000200000002,77.400002,75.970001,76.269997,67.559784,27289800,76.6850015,WMT
2014-11-03,76.349998,79.08000200000002,75.589996,78.769997,69.77426899999999,33593800,77.33499900000001,WMT
2014-11-10,78.599998,83.150002,78.41999799999998,82.959999,73.48577900000002,58483100,80.785,WMT
2014-11-17,82.58000200000002,85.639999,82.529999,84.650002,74.982773,40741900,84.08499900000001,WMT
2014-11-24,84.849998,88.089996,84.389999,87.540001,77.54274000000002,26434400,86.2399975,WMT
2014-12-01,86.720001,87.07,83.510002,84.120003,74.51329799999998,35753000,85.29000099999999,WMT
2014-12-08,84.150002,85.0,82.650002,83.809998,74.653442,35190100,83.825001,WMT
2014-12-15,84.260002,86.339996,82.940002,85.160004,75.855949,41110800,84.639999,WMT
2014-12-22,85.32,87.139999,85.290001,86.910004,77.414757,15869500,86.215,WMT
2014-12-29,86.459999,87.440002,85.550003,85.900002,76.515121,15524200,86.4950025,WMT
2015-01-05,85.720001,90.669998,85.510002,89.349998,79.588173,44882400,88.09,WMT
2015-01-12,89.360001,90.970001,86.230003,86.769997,77.290077,45363800,88.60000199999999,WMT
2015-01-19,86.82,89.260002,85.550003,88.510002,78.839958,30466500,87.4050025,WMT
2015-01-26,88.309998,89.160004,84.900002,84.980003,75.695625,33427000,87.030003,WMT
2015-02-02,84.790001,88.0,83.93,87.33000200000002,77.788872,34742500,85.965,WMT
2015-02-09,86.970001,87.410004,85.230003,85.809998,76.43494399999999,29580000,86.3200035,WMT
2015-02-16,85.43,86.300003,82.550003,84.300003,75.08991999999998,43503600,84.425003,WMT
2015-02-23,84.389999,84.860001,83.269997,83.93,74.760345,30476600,84.064999,WMT
2015-03-02,83.93,84.0,82.199997,82.589996,73.566734,30412400,83.0999985,WMT
2015-03-09,82.589996,83.339996,80.540001,81.900002,72.95213299999998,27074000,81.9399985,WMT
2015-03-16,82.449997,83.489998,81.160004,83.239998,74.591064,40177200,82.325001,WMT
2015-03-23,83.18,83.900002,80.650002,81.349998,72.897446,31972000,82.275002,WMT
2015-03-30,81.699997,83.040001,80.43,80.730003,72.34187299999998,25276000,81.73500050000001,WMT
2015-04-06,80.459999,81.389999,80.150002,80.650002,72.27018699999998,29085400,80.77000050000001,WMT
2015-04-13,80.400002,80.980003,77.550003,77.879997,69.787994,36246800,79.26500300000001,WMT
2015-04-20,78.389999,80.93,77.550003,79.839996,71.544342,36977600,79.2400015,WMT
2015-04-27,79.769997,79.860001,77.589996,78.599998,70.43319699999998,32249700,78.7249985,WMT
2015-05-04,78.980003,79.550003,77.16999799999998,78.529999,70.370453,28890200,78.36000049999998,WMT
2015-05-11,78.32,79.480003,77.870003,79.239998,71.454819,33402500,78.675003,WMT
2015-05-18,79.370003,79.940002,75.559998,75.860001,68.406906,54809600,77.75,WMT
2015-05-25,75.769997,75.83000200000002,74.150002,74.269997,66.973106,28867800,74.990002,WMT
2015-06-01,74.690002,75.199997,72.980003,73.059998,65.881996,37132400,74.09,WMT
2015-06-08,73.43,73.66999799999998,72.339996,72.43,65.313889,43757000,73.00499699999999,WMT
2015-06-15,72.199997,73.480003,71.699997,72.739998,65.593437,42413600,72.59,WMT
2015-06-22,72.980003,73.190002,71.83000200000002,72.120003,65.034363,33895200,72.51000200000001,WMT
