Ticker,Name,Sector,Industry
MFA,"MFA Financial, Inc.",Financial,REIT - Diversified
METR,"Metro Bancorp, Inc.",Financial,Regional - Northeast Banks
MFCO,Microwave Filter Co. Inc.,Technology,Diversified Electronics
MFI,MicroFinancial Inc.,Financial,Credit Services
MFLR,"Mayflower Bancorp, Inc.",,
MFLX,"Multi-Fineline Electronix, Inc.",Technology,Printed Circuit Boards
MFNC,Mackinac Financial Corporation,Financial,Regional - Southwest Banks
MFRI,"MFRI, Inc.",Industrial Goods,Pollution & Treatment Controls
MFRM,Mattress Firm Holding Corp.,Services,"Specialty Retail, Other"
MFSF,Mutualfirst Financial Inc.,Financial,Regional - Midwest Banks
MG,"Mistras Group, Inc.",Services,Security & Protection Services
MGAM,"Multimedia Games Holding Company, Inc.",Services,Gaming Activities
MGCD,MGC Diagnostics Corporation,Healthcare,Medical Appliances & Equipment
MGLN,Magellan Health Services Inc.,Healthcare,Health Care Plans
MGM,MGM Resorts International,Services,Resorts & Casinos
MGPI,MGP Ingredients Inc.,Consumer Goods,Processed & Packaged Goods
MGT,"MGT Capital Investments, Inc.",Services,Business Services
MGYR,"Magyar Bancorp, Inc.",Financial,Regional - Northeast Banks
MHFI,"McGraw Hill Financial, Inc.",Services,Business Services
MHGC,Morgans Hotel Group Co.,Services,Lodging
MHO,"M/I Homes, Inc.",Industrial Goods,Residential Construction
MGN,"Mines Management, Inc.",Basic Materials,Silver
MHH,"Mastech Holdings, Inc.",Services,Staffing & Outsourcing Services
MIDD,Middleby Corp.,Industrial Goods,Diversified Machinery
MIG,Meadowbrook Insurance Group Inc.,Financial,Property & Casualty Insurance
MILL,"Miller Energy Resources, Inc.",Basic Materials,Independent Oil & Gas
MIND,Mitcham Industries Inc.,Technology,Scientific & Technical Instruments
MINI,"Mobile Mini, Inc.",Consumer Goods,Packaging & Containers
MHK,Mohawk Industries Inc.,Consumer Goods,Home Furnishings & Fixtures
MITK,"Mitek Systems, Inc.",Technology,Application Software
MITL,Mitel Networks Corporation,Technology,Communication Equipment
MJN,Mead Johnson Nutrition Company,Consumer Goods,Processed & Packaged Goods
MKC,"McCormick & Company, Incorporated",Consumer Goods,Processed & Packaged Goods
MKL,Markel Corp.,Financial,Property & Casualty Insurance
