Date,Open,High,Low,Close,Adj Close,Volume
2014-06-16,57.970001,58.619999,57.009998,57.509998,57.509998,10691400
2014-06-23,57.450001,58.230000,56.630001,57.380001,57.380001,21251400
2014-06-30,57.349998,59.490002,57.349998,58.759998,58.759998,16718500
2014-07-07,58.720001,58.720001,53.299999,54.209999,54.209999,24775100
2014-07-14,54.689999,55.200001,52.480000,53.500000,53.500000,18586800
2014-07-21,53.250000,55.369999,52.580002,54.889999,54.889999,16897600
2014-07-28,54.740002,56.490002,52.910000,53.480000,53.480000,20206200
2014-08-04,53.889999,55.330002,53.360001,54.439999,54.439999,14756400
2014-08-11,54.680000,55.180000,52.500000,53.630001,53.630001,23139500
2014-08-18,54.110001,61.009998,53.900002,59.799999,59.799999,49414800
2014-08-25,59.340000,60.599998,57.799999,59.090000,59.090000,29949200
2014-09-01,59.200001,60.369999,58.750000,59.810001,59.810001,16237200
2014-09-08,59.820000,61.439999,59.060001,59.250000,59.250000,21391400
2014-09-15,59.150002,59.150002,56.830002,58.240002,58.240002,24444000
2014-09-22,58.049999,58.230000,55.799999,56.560001,56.560001,21337600
2014-09-29,55.560001,58.560001,55.290001,58.459999,58.459999,22931800
2014-10-06,58.959999,59.400002,54.759998,54.770000,54.770000,20492700
2014-10-13,54.750000,56.279999,51.040001,55.630001,55.630001,29066400
2014-10-20,54.750000,59.680000,54.689999,59.570000,59.570000,21457700
2014-10-27,59.369999,64.599998,58.410000,63.990002,63.990002,23094400
2014-11-03,63.919998,64.639999,61.590000,63.970001,63.970001,19075600
2014-11-10,64.050003,64.739998,62.380001,63.910000,63.910000,13132900
2014-11-17,63.730000,64.099998,57.660000,58.189999,58.189999,40593100
2014-11-24,57.290001,60.290001,56.799999,59.869999,59.869999,22829300
2014-12-01,59.090000,59.810001,58.540001,58.849998,58.849998,18170800
2014-12-08,58.540001,58.730000,53.439999,55.070000,55.070000,25474700
2014-12-15,55.419998,60.480000,53.750000,59.860001,59.860001,40630700
2014-12-22,59.930000,61.099998,59.450001,60.799999,60.799999,14466000
2014-12-29,60.410000,60.930000,58.509998,59.240002,59.240002,11438000
2015-01-05,58.599998,59.500000,56.549999,58.160000,58.160000,21773500
2015-01-12,58.450001,59.540001,54.950001,56.639999,56.639999,17376900
2015-01-19,56.700001,59.049999,55.810001,58.619999,58.619999,19411200
2015-01-26,58.529999,59.980000,55.849998,56.450001,56.450001,21829200
2015-02-02,56.880001,59.700001,55.450001,59.169998,59.169998,15185200
2015-02-09,58.849998,63.220001,57.820000,62.849998,62.849998,19778200
2015-02-16,62.580002,63.750000,61.830002,63.740002,63.740002,11765900
2015-02-23,63.139999,71.000000,61.549999,69.379997,69.379997,46438700
2015-03-02,67.379997,68.800003,64.279999,64.559998,64.559998,29974800
2015-03-09,64.750000,65.669998,63.650002,64.599998,64.599998,18932200
2015-03-16,64.949997,69.889999,64.910004,67.690002,67.690002,28233200
2015-03-23,67.699997,68.260002,64.809998,66.550003,66.550003,15957400
2015-03-30,67.400002,67.959999,65.419998,66.680000,66.680000,12502600
2015-04-06,66.239998,69.750000,66.000000,67.639999,67.639999,17289700
2015-04-13,67.760002,68.320000,65.440002,65.809998,65.809998,12236500
2015-04-20,66.190002,69.080002,66.190002,67.830002,67.830002,11642700
2015-04-27,68.459999,78.459999,65.889999,73.360001,73.360001,60424700
2015-05-04,72.269997,76.180000,71.000000,72.400002,72.400002,46723200
2015-05-11,71.480003,73.309998,70.040001,72.400002,72.400002,18682500
2015-05-18,72.550003,75.889999,69.290001,75.010002,75.010002,41299200
2015-05-25,73.660004,74.459999,71.660004,72.750000,72.750000,20372600
2015-06-01,72.790001,73.669998,71.849998,73.550003,73.550003,14414000
2015-06-08,73.279999,73.489998,71.000000,71.769997,71.769997,14144000
2015-06-15,71.309998,76.209999,70.730003,75.000000,75.000000,23173300
2015-06-22,75.500000,75.709999,72.089996,72.339996,72.339996,15066400
2015-06-29,71.669998,71.870003,69.110001,70.419998,70.419998,10881100
2015-07-06,69.769997,71.599998,68.330002,71.139999,71.139999,17062100
2015-07-13,71.589996,73.500000,71.000000,72.809998,72.809998,11973400
2015-07-20,72.889999,74.519997,71.970001,73.919998,73.919998,15804700
2015-07-27,73.370003,74.190002,71.750000,73.300003,73.300003,13579700
2015-08-03,73.570000,73.639999,69.480003,70.410004,70.410004,11201200
2015-08-10,71.129997,73.269997,69.559998,72.989998,72.989998,12890400
2015-08-17,72.589996,74.139999,67.500000,69.150002,69.150002,33281100
2015-08-24,65.760002,70.820000,64.160004,70.250000,70.250000,33907300
2015-08-31,69.790001,70.209999,66.260002,67.129997,67.129997,17806300
2015-09-07,68.339996,71.330002,68.309998,70.050003,70.050003,14034500
2015-09-14,70.199997,73.199997,69.540001,71.400002,71.400002,20934400
2015-09-21,71.760002,73.620003,70.449997,72.440002,72.440002,16948800
2015-09-28,71.949997,74.019997,67.709999,73.930000,73.930000,27261100
2015-10-05,74.089996,75.900002,73.250000,75.250000,75.250000,16651800
2015-10-12,75.309998,78.839996,74.989998,78.769997,78.769997,18529000
2015-10-19,78.440002,79.379997,75.309998,78.559998,78.559998,16724800
2015-10-26,78.580002,79.300003,76.570000,77.709999,77.709999,12855600
2015-11-02,77.709999,79.820000,77.500000,79.410004,79.410004,13531300
2015-11-09,78.930000,79.750000,75.419998,75.599998,75.599998,15166900
2015-11-16,75.540001,82.900002,73.940002,80.989998,80.989998,32002400
2015-11-23,80.440002,81.739998,79.129997,79.970001,79.970001,11723000
2015-11-30,79.730003,82.139999,79.290001,82.139999,82.139999,20707700
2015-12-07,81.809998,81.860001,76.650002,76.870003,76.870003,14767300
2015-12-14,76.760002,79.489998,75.849998,77.029999,77.029999,20451300
2015-12-21,78.300003,78.900002,76.430000,77.830002,77.830002,8846600
2015-12-28,77.660004,79.889999,77.379997,78.400002,78.400002,8825500
2016-01-04,77.139999,77.970001,72.900002,73.230003,73.230003,21706400
2016-01-11,73.739998,75.709999,68.180000,70.860001,70.860001,26792600
2016-01-18,71.860001,72.190002,66.940002,71.550003,71.550003,23824700
2016-01-25,71.230003,71.400002,65.269997,68.059998,68.059998,25526900
2016-02-01,67.589996,69.089996,57.750000,58.509998,58.509998,46223400
2016-02-08,56.869999,61.590000,52.599998,59.680000,59.680000,57120000
2016-02-15,60.680000,64.419998,58.459999,62.139999,62.139999,27192500
2016-02-22,62.139999,70.839996,60.330002,69.720001,69.720001,51239600
2016-02-29,69.129997,72.180000,67.500000,71.059998,71.059998,25352900
2016-03-07,70.500000,72.320000,69.000000,71.629997,71.629997,21368700
2016-03-14,71.309998,73.540001,71.089996,72.650002,72.650002,19430800
2016-03-21,72.500000,73.279999,71.059998,72.440002,72.440002,11844900
2016-03-28,72.389999,75.949997,70.709999,75.730003,75.730003,21242900
2016-04-04,75.849998,76.440002,74.300003,74.849998,74.849998,13596200
2016-04-11,75.470001,76.589996,73.440002,76.309998,76.309998,12311200
2016-04-18,76.239998,77.820000,75.349998,76.480003,76.480003,13002100
2016-04-25,76.180000,76.830002,74.480003,75.800003,75.800003,14822000
2016-05-02,76.300003,77.430000,73.169998,74.250000,74.250000,14563700
2016-05-09,74.250000,77.339996,74.199997,76.370003,76.370003,13669000
2016-05-16,76.669998,82.480003,76.000000,81.019997,81.019997,35602600
2016-05-23,80.790001,84.480003,80.709999,83.769997,83.769997,23487500
2016-05-30,83.559998,84.059998,81.910004,82.550003,82.550003,15168100
2016-06-06,82.860001,83.559998,81.550003,81.830002,81.830002,11709700
2016-06-13,81.250000,82.989998,80.169998,80.500000,80.500000,20469100
2016-06-20,81.480003,82.320000,78.330002,78.459999,78.459999,20447900
2016-06-27,77.459999,80.849998,75.510002,79.830002,79.830002,23907000
2016-07-04,79.099998,81.099998,77.730003,80.889999,80.889999,14728800
2016-07-11,81.059998,82.480003,81.040001,81.400002,81.400002,12948100
2016-07-18,81.510002,83.089996,81.150002,82.550003,82.550003,14383900
2016-07-25,82.580002,82.720001,80.879997,81.800003,81.800003,14646800
2016-08-01,81.779999,81.800003,79.599998,81.330002,81.330002,16591300
2016-08-08,81.379997,81.790001,79.940002,81.629997,81.629997,15517700
2016-08-15,79.349998,79.750000,75.870003,77.480003,77.480003,33314900
2016-08-22,77.480003,80.699997,76.959999,80.029999,80.029999,23816700
2016-08-29,80.209999,80.239998,74.059998,75.099998,75.099998,53782200
2016-09-05,74.930000,75.690002,74.199997,74.199997,74.199997,22730500
2016-09-12,73.779999,74.709999,72.650002,73.290001,73.290001,29413000
2016-09-19,73.720001,75.220001,70.099998,70.389999,70.389999,43138600
2016-09-26,70.500000,72.120003,69.809998,71.330002,71.330002,38513900
2016-10-03,71.150002,72.949997,66.769997,70.910004,70.910004,89426600
2016-10-10,73.580002,76.160004,69.620003,74.269997,74.269997,76923600
2016-10-17,74.099998,75.500000,72.230003,74.000000,74.000000,29525700
2016-10-24,74.430000,76.160004,74.279999,75.129997,75.129997,25371900
2016-10-31,75.320000,77.089996,73.730003,74.370003,74.370003,23504000
2016-11-07,75.639999,77.040001,72.269997,74.589996,74.589996,35961100
2016-11-14,74.910004,80.370003,72.540001,77.769997,77.769997,56485200
2016-11-21,78.059998,78.309998,73.500000,73.730003,73.730003,27003500
2016-11-28,73.550003,73.930000,66.430000,68.410004,68.410004,47008700
2016-12-05,69.089996,72.269997,69.029999,71.169998,71.169998,29916800
2016-12-12,70.820000,72.129997,69.580002,69.860001,69.860001,28832000
2016-12-19,70.000000,70.349998,69.129997,69.870003,69.870003,19046500
2016-12-26,69.839996,70.430000,68.230003,68.459999,68.459999,14997100
2017-01-02,69.290001,74.129997,69.000000,73.800003,73.800003,26563400
2017-01-09,74.050003,76.080002,73.440002,75.639999,75.639999,23873600
2017-01-16,75.300003,76.220001,74.370003,76.029999,76.029999,14976400
2017-01-23,75.699997,79.080002,75.699997,78.209999,78.209999,19531900
2017-01-30,77.800003,80.709999,77.099998,80.209999,80.209999,31650400
2017-02-06,80.019997,82.000000,79.349998,80.639999,80.639999,17069800
2017-02-13,81.180000,82.830002,80.250000,81.470001,81.470001,23305900
2017-02-20,81.680000,83.129997,80.970001,81.779999,81.779999,17095800
2017-02-27,81.629997,84.400002,80.690002,82.220001,82.220001,40243500
2017-03-06,81.760002,84.389999,81.620003,83.510002,83.510002,22069600
2017-03-13,83.470001,84.000000,82.730003,83.029999,83.029999,21061600
2017-03-20,83.029999,83.629997,81.139999,81.610001,81.610001,17450400
2017-03-27,81.000000,82.930000,80.500000,82.489998,82.489998,16150000
2017-04-03,82.610001,86.419998,81.550003,84.379997,84.379997,31845800
2017-04-10,84.129997,84.610001,83.129997,83.129997,83.129997,11630600
2017-04-17,83.250000,84.400002,83.000000,83.790001,83.790001,15258000
2017-04-24,84.510002,86.320000,83.750000,86.120003,86.120003,14234500
2017-05-01,86.250000,87.199997,86.110001,86.970001,86.970001,14315800
2017-05-08,86.930000,89.279999,86.570000,89.040001,89.040001,16294300
2017-05-15,89.269997,91.000000,86.440002,87.400002,87.400002,42008900
2017-05-22,87.540001,91.809998,86.870003,90.830002,90.830002,27671800
2017-05-29,90.500000,91.089996,89.320000,90.860001,90.860001,20516400
2017-06-05,91.000000,91.989998,85.230003,87.269997,87.269997,28779000
2017-06-12,86.120003,88.309998,83.550003,86.000000,86.000000,32811000
2017-06-19,86.690002,89.000000,86.430000,88.620003,88.620003,21029600
2017-06-26,88.800003,89.800003,85.830002,86.599998,86.599998,23654200
2017-07-03,87.010002,88.449997,85.120003,87.919998,87.919998,13190400
2017-07-10,87.860001,90.769997,87.470001,90.000000,90.000000,14209400
2017-07-17,89.980003,90.629997,88.620003,89.690002,89.690002,17171500
2017-07-24,89.650002,92.129997,88.959999,90.620003,90.620003,15058500
2017-07-31,90.809998,91.779999,88.989998,90.449997,90.449997,14136300
2017-08-07,90.550003,90.889999,87.260002,88.290001,88.290001,14168400
2017-08-14,89.290001,92.489998,89.099998,90.760002,90.760002,18369100
2017-08-21,90.949997,95.230003,90.570000,94.099998,94.099998,37607200
2017-08-28,94.080002,96.169998,92.500000,96.010002,96.010002,21364800
2017-09-04,95.360001,97.519997,95.129997,96.430000,96.430000,16408400
2017-09-11,96.949997,98.220001,94.169998,94.629997,94.629997,25961300
2017-09-18,94.940002,96.209999,94.050003,94.940002,94.940002,18024800
2017-09-25,94.870003,94.889999,92.110001,93.419998,93.419998,20971700
2017-10-02,93.720001,96.570000,93.449997,96.320000,96.320000,19240200
2017-10-09,96.330002,97.629997,94.830002,96.940002,96.940002,12315600
2017-10-16,96.949997,99.180000,95.930000,98.900002,98.900002,15072200
2017-10-23,99.070000,101.980003,97.809998,100.699997,100.699997,20257200
2017-10-30,100.699997,103.919998,99.910004,102.709999,102.709999,17725300
2017-11-06,102.919998,105.379997,101.580002,105.239998,105.239998,28662600
2017-11-13,105.000000,107.870003,105.000000,107.580002,107.580002,21241100
2017-11-20,108.699997,109.190002,106.050003,107.150002,107.150002,29270800
2017-11-27,106.790001,107.279999,102.769997,103.830002,103.830002,26788900
2017-12-04,104.599998,105.349998,98.680000,103.440002,103.440002,27082400
2017-12-11,104.389999,105.650002,103.279999,105.480003,105.480003,23834300
2017-12-18,105.400002,105.879997,102.019997,102.629997,102.629997,17572100
2017-12-25,102.160004,103.169998,101.320000,102.230003,102.230003,9781400
2018-01-01,102.879997,108.300003,102.269997,108.099998,108.099998,16466500
2018-01-08,108.000000,110.709999,107.570000,110.239998,110.239998,18766800
2018-01-15,110.849998,112.400002,108.230003,111.930000,111.930000,16834100
2018-01-22,111.629997,113.919998,111.010002,113.699997,113.699997,18649500
2018-01-29,113.699997,114.519997,110.709999,110.779999,110.779999,19807600
2018-02-05,109.150002,112.290001,102.370003,106.980003,106.980003,30916900
2018-02-12,107.699997,114.150002,105.930000,112.860001,112.860001,32604100
2018-02-19,112.449997,115.669998,112.279999,114.959999,114.959999,18201200
2018-02-26,116.110001,122.470001,115.370003,121.919998,121.919998,47194500
2018-03-05,120.000000,127.500000,119.660004,127.410004,127.410004,36792200
2018-03-12,127.870003,128.869995,125.690002,125.970001,125.970001,26920400
2018-03-19,125.029999,126.830002,114.309998,114.430000,114.430000,50620600
2018-03-26,118.239998,120.160004,111.339996,116.300003,116.300003,35760600
2018-04-02,115.910004,121.040001,113.610001,116.099998,116.099998,28481800
2018-04-09,117.139999,121.940002,117.139999,119.010002,119.010002,20209600
2018-04-16,120.949997,124.739998,118.660004,122.820000,122.820000,20939100
2018-04-23,123.190002,124.570000,115.040001,120.220001,120.220001,23192500
2018-04-30,120.870003,125.839996,119.779999,125.120003,125.120003,21110000
2018-05-07,125.790001,131.000000,125.459999,130.630005,130.630005,20420700
2018-05-14,130.789993,131.000000,125.550003,126.959999,126.959999,18712100
2018-05-21,128.000000,129.380005,124.580002,127.959999,127.959999,19890600
2018-05-28,126.750000,132.550003,126.120003,130.520004,130.520004,34853900
2018-06-04,130.389999,135.750000,129.600006,133.529999,133.529999,24801500
2018-06-11,133.880005,139.750000,133.259995,138.410004,138.410004,28778300
2018-06-18,137.009995,142.119995,133.949997,135.009995,135.009995,25756300
2018-06-25,134.240005,137.710007,131.669998,136.399994,136.399994,32427700
2018-07-02,136.149994,141.729996,135.300003,141.399994,141.399994,20186400
2018-07-09,142.649994,148.699997,139.880005,147.610001,147.610001,23617600
2018-07-16,147.839996,148.690002,143.080002,146.869995,146.869995,17686900
2018-07-23,146.869995,149.350006,142.380005,143.910004,143.910004,19986000
2018-07-30,143.539993,143.729996,135.389999,141.039993,141.039993,29305700
2018-08-06,140.889999,147.000000,140.649994,145.509995,145.509995,16523400
2018-08-13,145.630005,147.880005,143.600006,145.020004,145.020004,17300500
2018-08-20,145.210007,152.380005,144.320007,152.300003,152.300003,22269500
2018-08-27,154.710007,154.970001,149.500000,152.679993,152.679993,40751800
2018-09-03,152.110001,153.339996,147.080002,150.429993,150.429993,20655400
2018-09-10,150.000000,158.789993,148.000000,157.490005,157.490005,24032900
2018-09-17,157.000000,158.429993,151.649994,155.520004,155.520004,35842400
2018-09-24,155.380005,161.080002,153.330002,159.029999,159.029999,23399400
2018-10-01,160.110001,161.190002,152.470001,155.070007,155.070007,23166200
2018-10-08,154.240005,154.619995,136.449997,146.740005,146.740005,49363600
2018-10-15,146.699997,148.350006,140.380005,140.490005,140.490005,25281600
2018-10-22,141.699997,143.800003,132.610001,135.520004,135.520004,33198300
2018-10-29,138.100006,140.550003,128.029999,136.789993,136.789993,35067000
2018-11-05,137.339996,143.630005,132.979996,136.919998,136.919998,24340200
2018-11-12,135.740005,136.660004,126.300003,132.550003,132.550003,31072700
2018-11-19,131.600006,132.259995,113.599998,122.029999,122.029999,38435100
2018-11-26,124.480003,143.220001,123.660004,142.759995,142.759995,62749800
2018-12-03,146.300003,147.070007,132.750000,135.949997,135.949997,29749200
2018-12-10,135.160004,144.029999,133.179993,137.039993,137.039993,27717200
2018-12-17,134.309998,136.500000,122.459999,122.910004,122.910004,47245200
2018-12-24,121.139999,136.880005,120.160004,134.679993,134.679993,28076300
2018-12-31,136.000000,139.320007,130.100006,137.960007,137.960007,22921700
2019-01-07,141.020004,148.029999,138.789993,147.550003,147.550003,33870100
2019-01-14,145.750000,153.270004,144.699997,152.509995,152.509995,24997100
2019-01-21,150.339996,151.380005,146.520004,149.740005,149.740005,19874200
2019-01-28,148.169998,155.949997,144.639999,155.869995,155.869995,27198300
2019-02-04,156.020004,159.880005,152.710007,156.669998,156.669998,21609600
2019-02-11,158.199997,163.570007,156.710007,159.050003,159.050003,28396300
2019-02-18,159.660004,161.710007,157.210007,161.309998,161.309998,19568400
2019-02-25,162.509995,166.149994,159.869995,164.529999,164.529999,27679300
2019-03-04,165.559998,165.789993,150.250000,155.059998,155.059998,53073300
2019-03-11,155.899994,162.179993,153.429993,161.509995,161.509995,25003100
2019-03-18,161.399994,166.990005,160.880005,161.500000,161.500000,22237600
2019-03-25,160.229996,162.070007,152.369995,158.369995,158.369995,28262300
2019-04-01,160.100006,163.139999,155.830002,158.559998,158.559998,22189800
2019-04-08,158.399994,162.500000,156.449997,160.710007,160.710007,17328600
2019-04-15,161.000000,162.029999,153.169998,155.990005,155.990005,14770200
2019-04-22,155.449997,166.059998,155.279999,165.960007,165.960007,18587900
2019-04-29,166.710007,167.559998,159.630005,163.339996,163.339996,17111300
2019-05-06,158.619995,162.839996,152.389999,159.940002,159.940002,23395300
2019-05-13,154.919998,159.449997,151.699997,154.570007,154.570007,28794500
2019-05-20,152.470001,158.190002,151.699997,154.509995,154.509995,20070700
2019-05-27,155.350006,157.809998,151.199997,151.410004,151.410004,19038600
2019-06-03,150.699997,162.990005,142.509995,161.270004,161.270004,46059200
2019-06-10,153.479996,157.449997,148.789993,150.009995,150.009995,63653900
2019-06-17,150.199997,152.949997,149.869995,150.589996,150.589996,11785700
