,Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
0,2014-06-16,228.88000499999998,235.309998,226.19999700000002,229.58999599999999,229.58999599999999,13697000,230.7549975,original/TSLA
1,2014-06-23,229.50999500000003,241.88000499999998,228.22000099999997,239.059998,239.059998,32425000,235.05000299999998,original/TSLA
2,2014-06-30,239.55000299999998,244.49000499999997,224.0,229.25,229.25,22358800,234.2450025,original/TSLA
3,2014-07-07,227.5,229.77999900000003,214.270004,218.13000499999998,218.13000499999998,26011500,222.02500150000003,original/TSLA
4,2014-07-14,219.99000499999997,228.789993,213.600006,220.020004,220.020004,25869300,221.1949995,original/TSLA
5,2014-07-21,217.25,226.97000099999997,216.72000099999997,223.57000699999998,223.57000699999998,15968100,221.84500099999997,original/TSLA
6,2014-07-28,224.25,237.5,221.039993,233.270004,233.270004,34469400,229.2699965,original/TSLA
7,2014-08-04,234.38000499999998,256.690002,233.270004,248.13000499999998,248.13000499999998,33166600,244.980003,original/TSLA
8,2014-08-11,255.479996,265.640015,254.580002,262.01001,262.01001,29410700,260.1100085,original/TSLA
9,2014-08-18,263.25,267.26001,251.61999500000002,256.77999900000003,256.77999900000003,19960900,259.4400025,original/TSLA
10,2014-08-25,258.190002,272.0,258.190002,269.700012,269.700012,20413200,265.095001,original/TSLA
11,2014-09-01,275.5,291.420013,272.51001,277.390015,277.390015,36136300,281.9650115,original/TSLA
12,2014-09-08,277.619995,285.48999,273.660004,279.200012,279.200012,20932400,279.574997,original/TSLA
13,2014-09-15,274.369995,274.399994,249.13000499999998,259.320007,259.320007,40436700,261.7649995,original/TSLA
14,2014-09-22,255.0,256.019989,244.710007,246.600006,246.600006,26251900,250.364998,original/TSLA
15,2014-09-29,244.0,256.5,235.649994,255.210007,255.210007,29437200,246.074997,original/TSLA
16,2014-10-06,259.130005,265.540009,235.19999700000002,236.91000400000001,236.91000400000001,37503500,250.370003,original/TSLA
17,2014-10-13,238.57000699999998,238.960007,217.32000699999998,227.479996,227.479996,43470000,228.14000699999997,original/TSLA
18,2014-10-20,226.72000099999997,237.80000299999998,225.50999500000003,235.24000499999997,235.24000499999997,18697000,231.654999,original/TSLA
19,2014-10-27,234.25,244.600006,220.309998,241.69999700000002,241.69999700000002,32035800,232.455002,original/TSLA
20,2014-11-03,243.0,247.559998,228.5,240.19999700000002,240.19999700000002,37448000,238.029999,original/TSLA
21,2014-11-10,239.11000099999998,258.850006,236.80000299999998,258.679993,258.679993,30733900,247.82500449999998,original/TSLA
22,2014-11-17,257.48999,259.98999,242.169998,242.77999900000003,242.77999900000003,27489500,251.079994,original/TSLA
23,2014-11-24,245.19999700000002,249.72000099999997,240.63999900000002,244.520004,244.520004,12050400,245.18,original/TSLA
24,2014-12-01,241.16000400000001,242.47000099999997,222.25999500000003,223.710007,223.710007,29733300,232.364998,original/TSLA
25,2014-12-08,221.539993,224.86000099999998,204.270004,207.0,207.0,39839400,214.5650025,original/TSLA
26,2014-12-15,209.28999299999998,220.399994,192.649994,219.289993,219.289993,35406000,206.524994,original/TSLA
27,2014-12-22,220.0,228.5,218.25999500000003,227.82000699999998,227.82000699999998,13964300,223.3799975,original/TSLA
28,2014-12-29,226.899994,227.91000400000001,213.25999500000003,219.309998,219.309998,12872200,220.58499950000004,original/TSLA
29,2015-01-05,214.55000299999998,216.5,204.21000700000002,206.66000400000001,206.66000400000001,22632600,210.3550035,original/TSLA
30,2015-01-12,203.050003,207.610001,185.0,193.070007,193.070007,30793100,196.3050005,original/TSLA
31,2015-01-19,193.869995,203.5,187.03999299999998,201.28999299999998,201.28999299999998,16197900,195.2699965,original/TSLA
32,2015-01-26,201.830002,208.619995,196.5,203.600006,203.600006,15720200,202.5599975,original/TSLA
33,2015-02-02,203.970001,225.479996,203.300003,217.36000099999998,217.36000099999998,19023600,214.3899995,original/TSLA
34,2015-02-09,215.38000499999998,220.5,193.279999,203.770004,203.770004,40472600,206.8899995,original/TSLA
35,2015-02-16,205.699997,217.600006,201.5,217.11000099999998,217.11000099999998,17824600,209.550003,original/TSLA
36,2015-02-23,215.66000400000001,218.19999700000002,201.699997,203.33999599999999,203.33999599999999,29349200,209.949997,original/TSLA
37,2015-03-02,202.699997,206.190002,192.149994,193.880005,193.880005,28155800,199.169998,original/TSLA
38,2015-03-09,194.389999,196.179993,187.320007,188.679993,188.679993,26826100,191.75,original/TSLA
