Date,Open,High,Low,Close,Adj Close,Volume
2014-06-16,64.204285,64.212860,62.139999,62.882858,62.882858,30530500
2014-06-23,62.765713,64.277145,61.904285,63.154285,63.154285,76617100
2014-06-30,63.265713,67.981430,62.812859,67.478569,67.478569,77253400
2014-07-07,67.442856,67.461426,61.171429,62.851429,62.851429,104098400
2014-07-14,63.328571,65.099998,62.250000,63.452858,63.452858,69405000
2014-07-21,64.527145,65.357140,59.860001,60.265713,60.265713,139344800
2014-07-28,60.315716,62.184284,58.930000,60.771427,60.771427,69274100
2014-08-04,61.028572,64.424286,60.044285,63.692856,63.692856,79984100
2014-08-11,64.174286,66.000000,63.344284,65.584282,65.584282,61863200
2014-08-18,66.008568,68.507141,65.892860,68.455711,68.455711,62039600
2014-08-25,68.792854,69.328575,67.258568,68.234283,68.234283,51439500
2014-09-01,68.357140,69.657143,67.152855,67.954285,67.954285,48937700
2014-09-08,67.771431,69.898575,67.742859,68.078575,68.078575,57801800
2014-09-15,68.220001,68.220001,63.657143,65.360001,65.360001,82180000
2014-09-22,65.181427,65.278572,62.697144,64.107140,64.107140,57437100
2014-09-29,63.438572,65.800003,62.470001,65.648575,65.648575,71145900
2014-10-06,66.000000,66.855713,64.482857,64.582855,64.582855,75840100
2014-10-13,64.464287,64.638573,47.285713,51.012856,51.012856,268357600
2014-10-20,50.857143,55.285713,50.777142,55.002857,55.002857,119618800
2014-10-27,54.842857,56.252857,53.514286,56.110001,56.110001,70252700
2014-11-03,56.175713,56.502857,53.770000,54.880001,54.880001,61912200
2014-11-10,54.714287,56.299999,53.862858,55.148571,55.148571,56987000
2014-11-17,55.054287,55.642857,51.357143,51.468571,51.468571,74965100
2014-11-24,51.508572,51.922855,49.142857,49.512856,49.512856,62730500
2014-12-01,49.285713,51.135715,48.234287,50.131428,50.131428,61839400
2014-12-08,49.881428,49.982857,46.980000,47.782856,47.782856,69533100
2014-12-15,48.055714,48.928570,45.077145,48.588570,48.588570,79846900
2014-12-22,48.542858,49.484287,47.472858,48.578571,48.578571,30543800
2014-12-29,47.970001,50.331429,47.652859,49.848572,49.848572,18757000
2015-01-05,49.258572,49.258572,45.661430,47.041428,47.041428,9032700
2015-01-12,47.090000,48.250000,45.264286,48.191429,48.191429,11842800
2015-01-19,48.571430,62.742859,47.714287,62.494286,62.494286,23060500
2015-01-26,62.571430,65.339996,61.957142,63.114285,63.114285,14108200
2015-02-02,62.842857,65.467140,61.955715,63.480000,63.480000,9282000
2015-02-09,63.198570,66.629997,62.637142,66.585716,66.585716,8425500
2015-02-16,66.515717,68.714287,65.944283,68.314285,68.314285,14845700
2015-02-23,68.300003,69.500000,67.142860,67.844284,67.844284,6331300
2015-03-02,67.714287,68.607140,64.844284,64.874283,64.874283,8450300
2015-03-09,64.989998,65.092857,61.982857,62.628571,62.628571,11150400
2015-03-16,61.547142,61.785713,59.299999,61.185715,61.185715,12131700
2015-03-23,60.889999,63.098572,58.572857,59.252857,59.252857,11150200
2015-03-30,59.715714,60.564285,58.702858,59.154285,59.154285,7427900
2015-04-06,58.768570,64.995712,58.464287,64.938568,64.938568,11265400
2015-04-13,67.239998,82.142860,67.057144,81.650002,81.650002,76210600
2015-04-20,81.785713,82.304283,78.955711,79.771431,79.771431,25432100
2015-04-27,80.292854,81.785713,78.894287,79.575714,79.575714,7582700
2015-05-04,79.571426,82.442856,78.900002,82.085716,82.085716,10091100
2015-05-11,82.324287,88.348572,82.185715,87.607140,87.607140,13271000
2015-05-18,87.544289,89.785713,87.024284,88.838570,88.838570,9553400
2015-05-25,88.874283,90.205711,87.785713,89.151428,89.151428,5765300
2015-06-01,88.837143,90.540001,87.944283,90.459999,90.459999,6482100
2015-06-08,90.714287,98.970001,88.995712,94.418571,94.418571,18169300
2015-06-15,92.857140,96.418571,91.658569,93.871429,93.871429,10540000
2015-06-22,95.042854,100.891426,93.088570,93.088570,93.088570,25919400
2015-06-29,91.505714,95.238571,91.117142,94.044289,94.044289,9601200
2015-07-06,93.472855,98.502853,92.284286,97.228569,97.228569,12105700
2015-07-13,98.098572,117.879997,97.050003,114.769997,114.769997,127059600
2015-07-20,114.699997,114.699997,108.900002,109.339996,109.339996,63694700
2015-07-27,107.790001,115.000000,103.879997,114.309998,114.309998,59732400
2015-08-03,114.599998,129.289993,111.779999,123.519997,123.519997,108822000
2015-08-10,126.089996,126.500000,118.660004,123.389999,123.389999,62211000
2015-08-17,123.139999,126.750000,102.750000,103.959999,103.959999,90004700
2015-08-24,88.750000,119.349998,85.500000,117.629997,117.629997,191033500
2015-08-31,115.239998,117.000000,97.339996,98.790001,98.790001,146434900
2015-09-07,102.080002,102.790001,93.550003,97.510002,97.510002,117301800
2015-09-14,96.839996,107.500000,93.610001,102.620003,102.620003,113315500
2015-09-21,103.300003,105.449997,96.779999,102.239998,102.239998,85224100
2015-09-28,101.570000,106.870003,96.849998,106.110001,106.110001,90357400
2015-10-05,107.480003,115.830002,102.599998,113.330002,113.330002,119404300
2015-10-12,114.449997,115.419998,98.410004,98.989998,98.989998,133192900
2015-10-19,98.070000,103.620003,96.260002,100.040001,100.040001,91785200
2015-10-26,100.050003,110.099998,99.379997,108.379997,108.379997,62769400
2015-11-02,109.199997,115.680000,106.300003,114.059998,114.059998,66227700
2015-11-09,113.360001,115.250000,103.269997,103.650002,103.650002,74747800
2015-11-16,102.970001,124.070000,101.860001,123.839996,123.839996,113466300
2015-11-23,124.300003,126.389999,120.029999,125.440002,125.440002,51688500
2015-11-30,126.029999,132.199997,122.419998,130.929993,130.929993,97448200
2015-12-07,131.190002,133.270004,118.599998,118.910004,118.910004,89274300
2015-12-14,119.769997,126.349998,114.660004,118.019997,118.019997,78853300
2015-12-21,119.510002,119.589996,114.860001,117.330002,117.330002,34196600
2015-12-28,117.260002,119.599998,113.849998,114.379997,114.379997,33988200
2016-01-04,109.000000,122.180000,104.959999,111.389999,111.389999,123208900
2016-01-11,112.129997,117.779999,101.209999,104.040001,104.040001,105360700
2016-01-18,106.570000,110.139999,97.050003,100.720001,100.720001,146581500
2016-01-25,99.779999,102.680000,90.110001,91.839996,91.839996,112928200
2016-02-01,91.790001,97.180000,81.860001,82.790001,82.790001,114041700
2016-02-08,80.570000,92.209999,79.949997,87.400002,87.400002,114892500
2016-02-15,89.000000,94.900002,87.540001,89.230003,89.230003,66634900
2016-02-22,90.750000,97.480003,86.699997,94.790001,94.790001,79867100
2016-02-29,94.809998,102.220001,93.339996,101.580002,101.580002,88532900
2016-03-07,101.000000,101.790001,94.500000,97.660004,97.660004,83044600
2016-03-14,97.199997,102.410004,96.430000,101.120003,101.120003,62852700
2016-03-21,101.150002,102.099998,97.070000,98.360001,98.360001,37633000
2016-03-28,98.339996,105.790001,97.820000,105.699997,105.699997,67017700
2016-04-04,105.900002,106.440002,102.820000,103.809998,103.809998,49219700
2016-04-11,104.040001,111.849998,102.209999,111.510002,111.510002,57741800
2016-04-18,109.900002,110.699997,93.139999,95.900002,95.900002,145069500
2016-04-25,95.699997,95.750000,88.209999,90.029999,90.029999,67978100
2016-05-02,90.410004,93.250000,88.110001,90.839996,90.839996,51300100
2016-05-09,90.730003,93.250000,85.739998,87.879997,87.879997,64380300
2016-05-16,87.559998,93.279999,86.150002,92.489998,92.489998,63244200
2016-05-23,92.980003,104.000000,92.849998,103.300003,103.300003,77235100
2016-05-30,102.949997,103.449997,98.529999,99.589996,99.589996,34323000
2016-06-06,100.290001,101.629997,93.279999,93.750000,93.750000,44558400
