YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN
1988    11  11   9  18  19  20  20  20  19   9  20   9 185
1989    10  12  12  21  18  20  26  21  14  11   8  17 190
1990    10  11  20  20  21  27  27  23  16  15  12  15 217
1991    16   5  18  22  25  19  22  23  19  17  21  14 221
1992    14  13  20  20  16  22  29  20  19  11  19  18 221
1993    14  13  14  22  28  26  30  31  21  12  10  13 234
1994    19  15   7  21  16  25  26  23  19  17  17  12 217
1995    15   9  19  22  25  21  20  26  18  19  10  11 215
1996    16   9  13  16  29  23  27  22  19  12  17  16 219
1997    17  16  15  19  19  21  24  28  18  10  14  13 214
1998    16  18  23  24  25  29  24  28  18  20  11   7 243
1999    18  16  11  24  23  28  24  19  14  10   5  15 207
2000    15  12  14  16  21  24  27  25  19  18  15  25 231
2001    10  18  15  25  29  22  20  20  19  16  10  10 214
2002     7   7  14  19  22  20  21  20  18  21   7   3 179
2003     9  10  13  15  23  23  20  17  12   9  11  11 173
2004     9  10  22   9  28  22  25  25  10  17  14   8 199
2005    11  13  13  16  22  21  21  16  18  15   9  14 189
2006     8   7  17  17  21  23  19  23  18  13   8   8 182
2007     9  12  17  13  19  21  16  27  14  16   4  16 184
2008    14  18  15  19  21  26  25  20  20  16  13  18 225
2009    11  10  12  17  20  25  23  25  11  27  12  17 210
2010    10  14  15  17  21  27  23  18  20   8  10  12 195
2011    17  11  15  21  20  24  24  20  13  11  10  10 196
2012    10  10  16  17  18  18  19  16  14  14   8  12 172
2013     9  14  16  20  24  24  18  17  17  16  14  15 204
2014    15  16  12  18  24  27  16  28  21  12  10   8 207
2015    10   7   9  15  24  26  23  19  18   7  14  21 193
2016     9  14  16  17  21  20  25  23  19  11  11  11 197
2017    11   9  16  18  19  23  20  24  14  19   8  11 192
2018     6  14  16  15  27  23  19  19  16  20  14   8 197
2019    13  15  17  20  28  23                         116
