Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,257.940002,261.910004,249.800003,256.079987,256.079987,10992800
2018-12-31,260.160004,297.799988,256.579987,297.570007,297.570007,59473900
2019-01-07,302.100006,341.089996,301.649994,337.589996,337.589996,80295400
2019-01-14,334.239990,358.850006,329.130005,339.100006,339.100006,92558500
2019-01-21,334.890015,340.000000,318.600006,338.049988,338.049988,53706000
2019-01-28,334.700012,346.839996,328.149994,339.850006,339.850006,43905100
2019-02-04,342.600006,360.000000,338.000000,347.570007,347.570007,40241600
2019-02-11,350.000000,364.399994,344.809998,356.869995,356.869995,44968700
2019-02-18,355.799988,366.709991,353.880005,363.019989,363.019989,28823400
2019-02-25,367.010010,371.489990,354.690002,357.320007,357.320007,29857100
2019-03-04,359.720001,362.859985,342.470001,349.600006,349.600006,32681400
2019-03-11,352.000000,364.000000,350.029999,361.459991,361.459991,30711900
2019-03-18,362.470001,379.000000,356.799988,361.010010,361.010010,42858600
2019-03-25,359.000000,368.380005,349.200012,356.559998,356.559998,33059300
2019-04-01,359.000000,373.410004,358.510010,365.489990,365.489990,26104200
2019-04-08,365.109985,370.119995,349.359985,351.140015,351.140015,36811700
2019-04-15,350.709991,368.760010,342.269989,360.350006,360.350006,53989800
2019-04-22,359.700012,384.799988,359.000000,374.850006,374.850006,40489600
2019-04-29,373.679993,385.989990,368.350006,385.029999,385.029999,27477600
2019-05-06,377.690002,381.350006,352.750000,361.040009,361.040009,30879700
2019-05-13,352.290009,364.000000,341.390015,354.450012,354.450012,30886700
2019-05-20,351.230011,370.459991,345.399994,354.390015,354.390015,24338700
2019-05-27,354.390015,361.200012,342.920013,343.279999,343.279999,19407400
2019-06-03,343.559998,365.149994,332.649994,360.869995,360.869995,29248600
2019-06-10,363.649994,367.100006,336.160004,339.730011,339.730011,29020000
2019-06-17,342.690002,371.450012,342.059998,369.209991,369.209991,29801800
2019-06-24,370.269989,375.000000,358.290009,370.019989,370.019989,18380200
