Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,136.000000,136.880005,132.610001,134.679993,134.679993,7276200
2018-12-31,136.000000,139.320007,130.100006,137.960007,137.960007,22921700
2019-01-07,141.020004,148.029999,138.789993,147.550003,147.550003,33870100
2019-01-14,145.750000,153.270004,144.699997,152.509995,152.509995,24997100
2019-01-21,150.339996,151.380005,146.520004,149.740005,149.740005,19874200
2019-01-28,148.169998,155.949997,144.639999,155.869995,155.869995,27198300
2019-02-04,156.020004,159.880005,152.710007,156.669998,156.669998,21609600
2019-02-11,158.199997,163.570007,156.710007,159.050003,159.050003,28396300
2019-02-18,159.660004,161.710007,157.210007,161.309998,161.309998,19568400
2019-02-25,162.509995,166.149994,159.869995,164.529999,164.529999,27679300
2019-03-04,165.559998,165.789993,150.250000,155.059998,155.059998,53073300
2019-03-11,155.899994,162.179993,153.429993,161.509995,161.509995,25003100
2019-03-18,161.399994,166.990005,160.880005,161.500000,161.500000,22237600
2019-03-25,160.229996,162.070007,152.369995,158.369995,158.369995,28262300
2019-04-01,160.100006,163.139999,155.830002,158.559998,158.559998,22189800
2019-04-08,158.399994,162.500000,156.449997,160.710007,160.710007,17328600
2019-04-15,161.000000,162.029999,153.169998,155.990005,155.990005,14770200
2019-04-22,155.449997,166.059998,155.279999,165.960007,165.960007,18587900
2019-04-29,166.710007,167.559998,159.630005,163.339996,163.339996,17111300
2019-05-06,158.619995,162.839996,152.389999,159.940002,159.940002,23395300
2019-05-13,154.919998,159.449997,151.699997,154.570007,154.570007,28794500
2019-05-20,152.470001,158.190002,151.699997,154.509995,154.509995,20070700
2019-05-27,155.350006,157.809998,151.199997,151.410004,151.410004,19038600
2019-06-03,150.699997,162.990005,142.509995,161.270004,161.270004,46059200
2019-06-10,153.479996,157.449997,148.789993,150.009995,150.009995,63653900
2019-06-17,150.199997,158.289993,149.869995,156.839996,156.839996,39765400
2019-06-24,157.389999,157.729996,148.470001,150.690002,150.690002,26390400
